Location,Product Name,Purchase History,Payment Method,Search Query,Survey Response,Device Type,Browser Type,Operating System,IP Address,Referral Source,Net Profit,Operating Expenses,Revenue Trend,Expense Breakdown,Gross vs Net Profit,Region-wise Revenue Contribution,Previous Category,Labor Cost,Raw Material Cost,Shipping Cost,Income Group,First Interaction Date,Awareness Stage,Consideration Stage,Intent Stage,Out of Stock Occurrences,Last Purchase Date,Product Price,#Fraud Flag,Average Resolution Time,Average Response Time,Ticket Resolution Time,Order Shipment Time,Placement Time,Delivery Time,Payment & Transaction Failures,Reasons for Payment Failure,source,Retailer_Name,Category,Seasonal_Trend,Stock_Availability,Shelf_Space_Allocation,Repeat_Purchase_Rate,Basket_Size,Cross_Purchased_Products,Brand_Substitution_Rate,Category_Share_in_Retailer_Sales,Competitor_Promotion_Impact,Retail_Foot_Traffic,Customer Segment,In_Store_Advertising_Effectiveness,Customer Segment Type,Region,Order_ID,Purchase_Frequency,Product_Views,Delivery_Location_City,Delivery_Location_Country,Shipping_Method,Return_Refund_Rate,Product_Bundling_Preferences,Discounted,Return_Rate,Channel,Churn_Risk
London,Dairy Milk,Dairy Milk (7 times),PayPal,Snacks,Negative,Mobile,Safari,Android,86.119.191.151,EmailCampaign,-34.2173913043478,100.0,57.8695652173913,1.90082644628099,50.0,10.5217391304347,BelVita,107.1378536379667,437.0297990730508,32.83442659000386,Medium,2021-03-10,4,4,1,0,2024-12-07,456.0,0,00:02:00,00:02:00,00:02:00,00:07:00,00:02:00,00:07:00,No,Credit card expired,Own Website Data,Generic Retailer,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Regular,Medium,Returning,South,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
NewYork,Tang,Tang (8 times),Credit Card,Tang,Positive,Desktop,Chrome,Android,172.6.92.167,Direct,-34.4833333333333,100.0,56.8944444444444,1.93340494092373,50.0,10.3444444444444,Sour Patch,224.4222794613195,335.3927102225796,82.40090794096817,Medium,2022-04-24,6,5,3,3,2024-09-10,311.0,0,00:05:00,00:02:00,00:03:00,00:04:00,00:01:00,00:04:00,No,Credit card expired,Own Website Data,Generic Retailer,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Regular,Medium,Returning,South,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Sydney,Mirinda,Mirinda (3 times),UPI,Mirinda,Positive,Desktop,Firefox,iOS,142.92.206.89,Instagram,-40.4,100.0,35.2,3.125,50.0,6.4,Oreo,425.1846861286089,252.5661940558074,48.12923739576883,Low,2022-01-08,6,4,7,3,2025-01-22,243.0,0,00:03:00,00:01:00,00:02:00,00:05:00,00:02:00,00:06:00,No,Credit card expired,Own Website Data,Generic Retailer,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Regular,Medium,Returning,South,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
NewYork, Star,5 Star (3 times),PayPal,5 Star,Neutral,Desktop,Safari,Windows,234.32.184.215,Facebook,-40.6605263157894,100.0,34.2447368421052,3.21217244294167,50.0,6.22631578947368,Mirinda,441.6315288025411,646.4074717015112,31.54501494470851,High,2022-01-16,2,2,4,1,2024-09-08,198.0,0,00:03:00,00:01:00,00:05:00,00:07:00,00:00:00,00:09:00,No,Credit card expired,Own Website Data,Generic Retailer,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Regular,Medium,Returning,South,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Toronto,Halls,Halls (4 times),UPI,Halls,Positive,Tablet,Firefox,Android,233.108.193.253,Google,-47.5647058823529,100.0,8.92941176470588,12.3188405797101,50.0,1.6235294117647,Clorets,339.2736678156214,327.0452061851502,81.65251671060444,Low,2021-12-14,9,4,9,1,2024-08-18,424.0,0,00:05:00,00:01:00,00:04:00,00:03:00,00:00:00,00:03:00,No,Credit card expired,Own Website Data,Generic Retailer,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Regular,Medium,Returning,South,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
NewYork,Trident,Trident (8 times),UPI,Trident,Positive,Mobile,Firefox,iOS,230.195.178.122,Facebook,-41.4609756097561,100.0,31.3097560975609,3.51328191945158,50.0,5.69268292682926,Stride,165.564410248895,670.8591872392252,84.0040949884674,Medium,2021-06-04,6,5,7,1,2024-12-28,425.0,0,00:01:00,00:02:00,00:01:00,00:05:00,00:00:00,00:07:00,No,Credit card expired,Own Website Data,Generic Retailer,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Regular,Medium,Returning,South,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Toronto,TUC,TUC (4 times),UPI,Snacks,Negative,Desktop,Chrome,iOS,200.185.88.62,Instagram,-46.5083333333333,100.0,12.8027777777777,8.59188544152744,50.0,2.32777777777777,Stride,158.1572653356097,385.4279488703912,51.06309223112185,High,2022-02-21,5,6,5,0,2025-01-09,84.0,0,00:05:00,00:02:00,00:03:00,00:05:00,00:03:00,00:05:00,Yes,Payment gateway issues,Own Website Data,Generic Retailer,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Regular,Medium,Returning,South,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Mumbai,Stride,Stride (9 times),Cash on Delivery,Stride,Positive,Mobile,Safari,iOS,93.23.166.56,Instagram,-41.1058823529411,100.0,32.6117647058823,3.37301587301587,50.0,5.92941176470588,BelVita,175.0680069481856,412.9991103475008,51.99341899366506,High,2022-06-04,2,4,9,4,2024-05-11,418.0,0,00:04:00,00:02:00,00:02:00,00:07:00,00:01:00,00:07:00,No,Credit card expired,Own Website Data,Generic Retailer,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Regular,Medium,Returning,South,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Mumbai,Schweppes,Schweppes (7 times),Credit Card,Schweppes,Neutral,Tablet,Safari,Windows,51.205.158.16,EmailCampaign,-36.8428571428571,100.0,48.2428571428571,2.2801302931596,50.0,8.77142857142857,TUC,275.0176517092765,324.2029593435015,80.2842610779812,Medium,2023-10-06,1,4,3,1,2024-10-05,78.0,0,00:05:00,00:01:00,00:04:00,00:02:00,00:03:00,00:05:00,No,Credit card expired,Own Website Data,Generic Retailer,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Regular,Medium,Returning,South,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Mumbai,Oreo,Oreo (1 times),Credit Card,Oreo,Negative,Tablet,Safari,MacOS,125.249.71.180,Facebook,-38.8086956521739,100.0,41.0347826086956,2.68065268065268,50.0,7.46086956521739,Stride,489.4000155461442,476.6213862496447,79.4197869044962,Low,2022-04-13,7,6,8,4,2024-08-17,312.0,0,00:01:00,00:01:00,00:02:00,00:03:00,00:00:00,00:06:00,No,Credit card expired,Own Website Data,Generic Retailer,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Regular,Medium,Returning,South,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
