Location,Zip Code,Gender,Language,Product Name,Payment Method,Clickstream Data,Search Query,Bounce Rate,Survey Response,Device Type,Browser Type,Operating System,COGS,Revenue Trend,Expense Breakdown,Region-wise Revenue Contribution,Customer ID,Transaction Date,Previous Category,Labor Cost,Raw Material Cost,Shipping Cost,Awareness Stage,Consideration Stage,Intent Stage,Return Requests,Out of Stock Occurrences,Defective Complaints,Churn Reason,Product Price,Chargebacks,Number of Chargebacks,Order Shipment Time,Placement Time,Delivery Time,Delivery Delays,Reason for Delivery Delays,Return Due to Delivery Issues,Payment & Transaction Failures,Reasons for Payment Failure,source,Retailer_Name,Store_Location_City,Store_Location_Country,Category,Seasonal_Trend,Stock_Availability,Shelf_Space_Allocation,Repeat_Purchase_Rate,Basket_Size,Cross_Purchased_Products,Brand_Substitution_Rate,Category_Share_in_Retailer_Sales,Competitor_Promotion_Impact,Retail_Foot_Traffic,In_Store_Advertising_Effectiveness,Product_Issue_Reported,Campaign_Exposure,Return_Flag,Purchase_Frequency,Product_Views,Wishlist_Adds,Delivery_Location_City,Delivery_Location_Country,Shipping_Method,Return_Refund_Rate,Order_Fulfillment_Time,Ad_Clicks,Coupon_Code_Usage,Product_Bundling_Preferences,Churn_Risk,Repeat_Purchase_Decline,Discounted,Return_Rate,Defective_Flag
London,46880,Male,Chinese,Dairy Milk,PayPal,Home > Chocolate > Dairy Milk,Snacks,1.0,Negative,Mobile,Safari,Android,36.8260869565217,57.8695652173913,1.90082644628099,10.5217391304347,3832,2021-04-01,BelVita,107.1378536379667,437.0297990730508,32.83442659000386,4,4,1,2,0,1,Service,456.0,0,0,00:07:00,00:02:00,00:07:00,No,Shipping carrier issue,No,No,Credit card expired,Own Website Data,Generic Retailer,New York,India,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Medium,0,Yes,0,5,50,1,Mumbai,Australia,Standard,0.5152899999999999,00:05:24,9,2,Candy & Gum,Low,49.00095999999999,True,15.66809,1
NewYork,14720,Male,Chinese,Tang,Credit Card,Home > Beverages > Tang,Tang,1.0,Positive,Desktop,Chrome,Android,36.2055555555555,56.8944444444444,1.93340494092373,10.3444444444444,6679,2022-05-01,Sour Patch,224.4222794613195,335.3927102225796,82.40090794096817,6,5,3,5,3,2,Service,311.0,0,0,00:04:00,00:01:00,00:04:00,Yes,Shipping carrier issue,No,No,Credit card expired,Own Website Data,Generic Retailer,New York,India,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Medium,0,Yes,0,5,50,1,Mumbai,Australia,Standard,0.5152899999999999,00:05:24,9,2,Candy & Gum,Low,49.00095999999999,True,15.66809,1
Sydney,98108,Male,French,Mirinda,UPI,Home > Beverages > Mirinda,Mirinda,0.0,Positive,Desktop,Firefox,iOS,22.4,35.2,3.125,6.4,7579,2022-02-01,Oreo,425.1846861286089,252.5661940558074,48.12923739576883,6,4,7,0,3,0,Quality,243.0,0,0,00:05:00,00:02:00,00:06:00,Yes,Shipping carrier issue,No,No,Credit card expired,Own Website Data,Generic Retailer,New York,India,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Medium,0,Yes,0,5,50,1,Mumbai,Australia,Standard,0.5152899999999999,00:05:24,9,2,Candy & Gum,Low,49.00095999999999,True,15.66809,1
NewYork,13640,Female,Chinese, Star,PayPal,Home > Chocolate > 5 Star,5 Star,0.0,Neutral,Desktop,Safari,Windows,21.7921052631578,34.2447368421052,3.21217244294167,6.22631578947368,1152,2022-02-01,Mirinda,441.6315288025411,646.4074717015112,31.54501494470851,2,2,4,3,1,1,No Need,198.0,0,0,00:07:00,00:00:00,00:09:00,Yes,Shipping carrier issue,No,No,Credit card expired,Own Website Data,Generic Retailer,New York,India,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Medium,0,Yes,0,5,50,1,Mumbai,Australia,Standard,0.5152899999999999,00:05:24,9,2,Candy & Gum,Low,49.00095999999999,True,15.66809,1
Toronto,61759,Other,French,Halls,UPI,Home > Candy > Halls,Halls,0.0,Positive,Tablet,Firefox,Android,5.68235294117647,8.92941176470588,12.3188405797101,1.6235294117647,6754,2022-01-01,Clorets,339.2736678156214,327.0452061851502,81.65251671060444,9,4,9,5,1,1,Price,424.0,0,0,00:03:00,00:00:00,00:03:00,No,Shipping carrier issue,No,No,Credit card expired,Own Website Data,Generic Retailer,New York,India,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Medium,0,Yes,0,5,50,1,Mumbai,Australia,Standard,0.5152899999999999,00:05:24,9,2,Candy & Gum,Low,49.00095999999999,True,15.66809,1
NewYork,58199,Male,English,Trident,UPI,Home > Gum > Trident,Trident,0.0,Positive,Mobile,Firefox,iOS,19.9243902439024,31.3097560975609,3.51328191945158,5.69268292682926,3800,2021-07-01,Stride,165.564410248895,670.8591872392252,84.0040949884674,6,5,7,6,1,2,Price,425.0,0,0,00:05:00,00:00:00,00:07:00,No,Shipping carrier issue,No,No,Credit card expired,Own Website Data,Generic Retailer,New York,India,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Medium,0,Yes,0,5,50,1,Mumbai,Australia,Standard,0.5152899999999999,00:05:24,9,2,Candy & Gum,Low,49.00095999999999,True,15.66809,1
Toronto,15150,Male,English,TUC,UPI,Home > Biscuits > TUC,Snacks,1.0,Negative,Desktop,Chrome,iOS,8.14722222222222,12.8027777777777,8.59188544152744,2.32777777777777,6310,2022-03-01,Stride,158.1572653356097,385.4279488703912,51.06309223112185,5,6,5,9,0,1,Service,84.0,0,0,00:05:00,00:03:00,00:05:00,No,Shipping carrier issue,No,Yes,Payment gateway issues,Own Website Data,Generic Retailer,New York,India,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Medium,0,Yes,0,5,50,1,Mumbai,Australia,Standard,0.5152899999999999,00:05:24,9,2,Candy & Gum,Low,49.00095999999999,True,15.66809,1
Mumbai,88585,Male,English,Stride,Cash on Delivery,Home > Gum > Stride,Stride,0.0,Positive,Mobile,Safari,iOS,20.7529411764705,32.6117647058823,3.37301587301587,5.92941176470588,3610,2022-07-01,BelVita,175.0680069481856,412.9991103475008,51.99341899366506,2,4,9,2,4,1,Service,418.0,0,0,00:07:00,00:01:00,00:07:00,Yes,Address issues,No,No,Credit card expired,Own Website Data,Generic Retailer,New York,India,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Medium,0,Yes,0,5,50,1,Mumbai,Australia,Standard,0.5152899999999999,00:05:24,9,2,Candy & Gum,Low,49.00095999999999,True,15.66809,1
Mumbai,52466,Other,French,Schweppes,Credit Card,Home > Beverages > Schweppes,Schweppes,0.0,Neutral,Tablet,Safari,Windows,30.7,48.2428571428571,2.2801302931596,8.77142857142857,2104,2023-11-01,TUC,275.0176517092765,324.2029593435015,80.2842610779812,1,4,3,8,1,1,Service,78.0,0,0,00:02:00,00:03:00,00:05:00,No,Shipping carrier issue,No,No,Credit card expired,Own Website Data,Generic Retailer,New York,India,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Medium,0,Yes,0,5,50,1,Mumbai,Australia,Standard,0.5152899999999999,00:05:24,9,2,Candy & Gum,Low,49.00095999999999,True,15.66809,1
Mumbai,52823,Other,Chinese,Oreo,Credit Card,Home > Biscuits > Oreo,Oreo,1.0,Negative,Tablet,Safari,MacOS,26.1130434782608,41.0347826086956,2.68065268065268,7.46086956521739,8361,2022-05-01,Stride,489.4000155461442,476.6213862496447,79.4197869044962,7,6,8,6,4,0,Quality,312.0,0,0,00:03:00,00:00:00,00:06:00,No,Shipping carrier issue,No,No,Credit card expired,Own Website Data,Generic Retailer,New York,India,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Medium,0,Yes,0,5,50,1,Mumbai,Australia,Standard,0.5152899999999999,00:05:24,9,2,Candy & Gum,Low,49.00095999999999,True,15.66809,1
